"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000007520",323.891328107625,-1.09162033488418,0.287415969137672,-3.79805039420513,0.00014583867717606,0.0404170215071166
"ENSG00000008311",215.959618371232,2.90171934773595,0.777371606418748,3.73273132666088,0.000189414604695752,0.0428505889620257
"ENSG00000053371",208.101008327853,-1.3175276759894,0.282870184725819,-4.65771137126544,3.19744065708728e-06,0.00468379378539613
"ENSG00000067560",2031.93290913651,1.46425959758354,0.291902158633161,5.01626847995908,5.26846942659696e-07,0.00135057213750813
"ENSG00000084674",479.554620618905,-8.37021502881889,2.19588900926605,-3.81176598338935,0.00013797747548723,0.0393314887240001
"ENSG00000091513",342.847027325767,-25.2561034038272,3.3370006398999,-7.56850421358771,3.77546078740583e-14,3.87135749140594e-10
"ENSG00000095015",239.627018685675,-2.16254770224075,0.58957338725532,-3.66798730910872,0.000244467315074385,0.0482070740148605
"ENSG00000101294",749.474956600935,-1.06203293659367,0.275178849839102,-3.85942792193022,0.000113652771782823,0.0365133672356915
"ENSG00000106804",68.7685701157674,-5.23209204897912,1.40615812814538,-3.72084187706532,0.000198559739937079,0.0428505889620257
"ENSG00000110245",71.1986480039023,-23.3096722701499,4.79255012542852,-4.86373051091786,1.15193728368146e-06,0.00236239298137394
"ENSG00000113889",55.7053799965408,-21.8438038629972,5.04950552814615,-4.32592928975698,1.51890144922501e-05,0.0113940939032279
"ENSG00000116698",470.579109459152,1.03082018833931,0.261503269873225,3.94190171633052,8.08381031035798e-05,0.0307005151564484
"ENSG00000116729",605.902419687549,-4.67397438209695,1.18534057824355,-3.9431488872362,8.04186947731259e-05,0.0307005151564484
"ENSG00000118137",439.255091370627,-9.59617971534163,2.38039970426953,-4.03133125001224,5.5461810869396e-05,0.0258502458479448
"ENSG00000119638",314.368706044637,-1.6761556466223,0.371086217732966,-4.51689005553006,6.27544668712856e-06,0.00804355379122703
"ENSG00000125798",490.607744073789,-8.11906868609003,1.97700269156899,-4.10675651617176,4.01253807912905e-05,0.0216550344544154
"ENSG00000129562",211.448575871464,-1.40142366355196,0.353098572436509,-3.96893041476103,7.21959586904784e-05,0.0307005151564484
"ENSG00000129933",229.194322974287,-1.78100319086446,0.413666472292988,-4.30540860851548,1.66677792615972e-05,0.0113940939032279
"ENSG00000135111",906.606295135348,-7.30202096434463,1.88329663649729,-3.87725482159069,0.00010564169748077,0.0361083321989273
