"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000008311",215.959618371232,2.90171934773595,0.777371606418748,3.73273132666088,0.000189414604695752,0.0428505889620257
"ENSG00000067560",2031.93290913651,1.46425959758354,0.291902158633161,5.01626847995908,5.26846942659696e-07,0.00135057213750813
"ENSG00000116698",470.579109459152,1.03082018833931,0.261503269873225,3.94190171633052,8.08381031035798e-05,0.0307005151564484
"ENSG00000137871",114.211004424491,1.20860178166878,0.296074941995928,4.08208061621574,4.4634307720453e-05,0.0219224054629246
"ENSG00000143363",427.529736419857,1.13251417058667,0.270865919256735,4.18108772670376,2.9011789640675e-05,0.0174992288809107
"ENSG00000143776",210.438011117809,1.26247396515068,0.284902018772954,4.43125664952474,9.36855014751516e-06,0.0106739014680689
"ENSG00000148143",933.640962657813,1.28018489862114,0.349545486409525,3.66242720445626,0.000249836761169833,0.0483363424346314
"ENSG00000158796",220.254876146916,1.13598450876361,0.269674181371746,4.21243332596849,2.52634298942493e-05,0.016190700633477
"ENSG00000164742",87.6557559446907,2.51445742512919,0.644256056598071,3.90288519506751,9.50527952612122e-05,0.0348096915217311
"ENSG00000172915",251.452115731672,1.66117133921293,0.384183666882349,4.32389891192756,1.53295560395277e-05,0.0113940939032279
"ENSG00000197622",612.751337085553,1.0748069223015,0.286114415680692,3.75656333059777,0.000172262692802401,0.0406808889310723
