"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",523.006236764594,-0.450764460080971,0.283126475298459,-1.5920957572258,0.111363190280324,0.52131260924199
"ENSG00000000005",10.4331325872999,1.86151941823108,2.06980461391016,0.899369634080776,0.368455807994336,NA
"ENSG00000000419",181.86249999173,-0.517055352355175,0.518515191402544,-0.997184578057547,0.318674925240181,0.700938273939009
"ENSG00000000457",32.9060530521277,-0.290319180392773,0.526920697802851,-0.550973195024116,0.581652049786418,NA
"ENSG00000000460",62.6120918010326,0.858417032410467,0.690504584421709,1.24317354551582,0.213803888923537,0.620945786084936
"ENSG00000000938",0.825881366666653,-1.61782097900369,3.97052716426039,-0.40745747657038,0.683672019935493,NA
"ENSG00000000971",1.90684725672147,-1.72129121100634,3.96382088258536,-0.43425050273302,0.66410654304925,NA
"ENSG00000001036",127.816599763283,0.234543799428483,0.514124065720192,0.456200779280641,0.648245605095132,0.861825081436712
"ENSG00000001084",112.020725490569,0.32321896270968,0.395418713451358,0.817409373189517,0.413694520934887,0.752330323333824
"ENSG00000001167",92.8804203514846,-0.678142956584877,0.374492086022612,-1.81083387845993,0.0701665703664225,0.451656002848271
"ENSG00000001460",36.1969183722255,-0.0686099952370263,0.460241319778122,-0.149073958135924,0.881495274650369,NA
"ENSG00000001461",110.970013990326,0.0673098080524428,0.905807836457341,0.0743091474188331,0.940764398569501,0.978363478537657
"ENSG00000001497",155.270572162206,0.439208732828936,0.422719757818827,1.03900687087632,0.298801540790058,0.687250901253016
"ENSG00000001561",45.4762813221019,-0.392814151763619,0.608897620019465,-0.645123480284028,0.518847168812748,0.802088027135455
"ENSG00000001617",179.161129512176,-0.606521707689021,1.00264056779931,-0.604924363892708,0.545229253847743,0.815498630125595
"ENSG00000001626",10.529587735757,-0.706173292300694,2.21023306195934,-0.31950173239861,0.749346077914252,NA
"ENSG00000001629",180.364849361302,-0.00334912018488166,0.251542097816912,-0.0133143526031947,0.989376997481877,0.997716875844793
"ENSG00000001630",6.72482498291485,0.0743964686948061,0.669377809921877,0.11114271729965,0.911503175051282,NA
"ENSG00000001631",172.851962036256,0.120877431982981,0.241718708213871,0.500074788898963,0.617022417280324,0.847963590951283
"ENSG00000002016",36.5673801151139,-0.533276654345945,0.630917002474909,-0.845240581968866,0.397976528399805,NA
"ENSG00000002330",92.4432691153225,-0.593898913095442,0.59060360652606,-1.00557955713946,0.314617861758229,0.697873403822397
"ENSG00000002549",125.912800865784,-0.61366351734584,0.447615602526124,-1.37096096267114,0.170387125541517,0.584917839070211
"ENSG00000002586",753.224389643602,-1.74251053146261,0.979212500511428,-1.77950192685706,0.0751575092727253,0.463418580927556
"ENSG00000002587",16.5906631751917,-2.22642612962845,1.40991048583072,-1.57912587501372,0.114307187765693,NA
"ENSG00000002745",0.376432309697757,-1.63003818673957,4.0930843791382,-0.398242018915519,0.690451795355231,NA
"ENSG00000002746",1.43615089351081,1.83789315257528,1.88247592902088,0.976316947399811,0.328907424138462,NA
"ENSG00000002822",49.7206972087487,-0.606263629807198,0.384064530761698,-1.57854626305851,0.114440168709552,0.523753134537036
"ENSG00000002834",1359.48971103579,-0.0129060478324611,0.482885969055899,-0.0267269058525224,0.978677553027485,0.994289074481703
"ENSG00000002919",96.516745985292,0.565313979608854,0.319576678119356,1.76894629149916,0.0769028379620328,0.467918582232344
"ENSG00000002933",11.7254363525118,-5.65117680490441,3.19977076322251,-1.7661192701233,0.0773758411877067,NA
"ENSG00000003056",65.4191129851788,0.406818156916331,0.427082899266478,0.952550798955071,0.340817716002347,0.713816771722707
"ENSG00000003096",29.89460111541,0.410613075205291,0.585926986455247,0.700792222746774,0.483432692318044,NA
"ENSG00000003137",8.84000402708477,-1.35815989858494,2.2001918361606,-0.617291581699061,0.537042418459,NA
"ENSG00000003147",118.489090478411,0.468734151831821,0.561065578918512,0.835435588002625,0.403472499332355,0.747644606891191
"ENSG00000003249",42.3628225743492,0.414294732126982,0.845092769057314,0.490235802856437,0.623967048540526,NA
"ENSG00000003393",154.920415200037,-0.316917082490476,0.243244918654452,-1.30287236520111,0.192618339910275,0.603102821133781
"ENSG00000003400",15.936085908653,-0.323278440154835,0.97677015272663,-0.330966747143543,0.740669603290863,NA
"ENSG00000003402",231.848849751932,-0.853028094138767,0.695178803070014,-1.22706286551268,0.219798963607103,0.626468238349954
"ENSG00000003436",282.576187876753,-1.87057641106633,1.44589124529882,-1.29371860929951,0.195762635008362,0.606414097752155
"ENSG00000003509",103.358407225757,0.813471984313455,0.382944031495862,2.12425816152783,0.0336485621709357,0.356070543344453
"ENSG00000003756",714.273616055878,-0.817043184896725,0.556985921771641,-1.46690096277102,0.142402998592597,0.559750959060101
"ENSG00000003987",6.77577819307402,1.45764630150977,1.02978848505964,1.41548125916882,0.156927439385226,NA
"ENSG00000003989",223.371912890537,-0.974960845579285,1.0461074408443,-0.931989208290501,0.351342102592868,0.71976652910656
"ENSG00000004059",4.77047695617805,0.0212118826691152,0.912496014885728,0.0232460003365292,0.981454045545863,NA
"ENSG00000004139",27.3926505506751,-1.2333287925019,1.22122891534377,-1.00990795174116,0.312539392615395,NA
"ENSG00000004142",206.497455412948,-0.406478698592688,0.254654810819516,-1.59619485406374,0.110445296162714,0.521171682858936
"ENSG00000004399",237.957504428787,-1.44418191930459,0.6993256483499,-2.06510646751227,0.0389129276213575,0.372587159218299
"ENSG00000004455",252.400265939214,0.202412967791289,0.527399209070225,0.383794598683854,0.701130691694146,0.886468449555241
"ENSG00000004468",1.27340428835225,-0.840458212487656,1.85813238109016,-0.452313420206671,0.651043209320387,NA
"ENSG00000004478",375.711685397008,0.531699185578545,0.622659560921531,0.853916359674353,0.393151334325544,0.74397034810226
"ENSG00000004487",599.978052060395,0.157660520117466,0.434582187037194,0.362786429863432,0.716764429675785,0.893791824010113
"ENSG00000004534",553.689725499323,-0.661561771575986,0.335089852883438,-1.97428172140477,0.0483497181242525,0.400421544490231
"ENSG00000004660",29.9635218660286,0.501333051794469,0.690523122903196,0.726019209446155,0.467826994526342,NA
